Date,Start Time,Duration,Value,Edit Code,Flow Direction,TOU
3/26/2020,12:00 AM,60,0.26,Direct,,NoTOU
3/26/2020,1:00 AM,60,0.19,Direct,,NoTOU
3/26/2020,2:00 AM,60,0.17,Direct,,NoTOU
3/26/2020,3:00 AM,60,0.18,Direct,,NoTOU
3/26/2020,4:00 AM,60,0.2,Direct,,NoTOU
3/26/2020,5:00 AM,60,0.175,Direct,,NoTOU
3/26/2020,6:00 AM,60,0.175,Direct,,NoTOU
3/26/2020,7:00 AM,60,0.425,Direct,,NoTOU
3/26/2020,8:00 AM,60,0.68,Direct,,NoTOU
3/26/2020,9:00 AM,60,0.14,Direct,,NoTOU
3/26/2020,10:00 AM,60,0.135,Direct,,NoTOU
3/26/2020,11:00 AM,60,0.55,Direct,,NoTOU
3/26/2020,12:00 PM,60,0.475,Direct,,NoTOU
3/26/2020,1:00 PM,60,0.4,Direct,,NoTOU
3/26/2020,2:00 PM,60,0.745,Direct,,NoTOU
3/26/2020,3:00 PM,60,0.175,Direct,,NoTOU
3/26/2020,4:00 PM,60,0.28,Direct,,NoTOU
3/26/2020,5:00 PM,60,0.225,Direct,,NoTOU
3/26/2020,6:00 PM,60,0.51,Direct,,NoTOU
3/26/2020,7:00 PM,60,0.695,Direct,,NoTOU
3/26/2020,8:00 PM,60,0.425,Direct,,NoTOU
3/26/2020,9:00 PM,60,0.715,Direct,,NoTOU
3/26/2020,10:00 PM,60,0.59,Direct,,NoTOU
3/26/2020,11:00 PM,60,0.275,Direct,,NoTOU
3/27/2020,12:00 AM,60,0.24,Direct,,NoTOU
3/27/2020,1:00 AM,60,0.22,Direct,,NoTOU
3/27/2020,2:00 AM,60,0.195,Direct,,NoTOU
3/27/2020,3:00 AM,60,0.19,Direct,,NoTOU
3/27/2020,4:00 AM,60,0.205,Direct,,NoTOU
3/27/2020,5:00 AM,60,0.18,Direct,,NoTOU
3/27/2020,6:00 AM,60,0.185,Direct,,NoTOU
3/27/2020,7:00 AM,60,0.36,Direct,,NoTOU
3/27/2020,8:00 AM,60,0.665,Direct,,NoTOU
3/27/2020,9:00 AM,60,0.18,Direct,,NoTOU
3/27/2020,10:00 AM,60,0.42,Direct,,NoTOU
3/27/2020,11:00 AM,60,0.675,Direct,,NoTOU
3/27/2020,12:00 PM,60,0.585,Direct,,NoTOU
3/27/2020,1:00 PM,60,0.695,Direct,,NoTOU
3/27/2020,2:00 PM,60,1.38,Direct,,NoTOU
3/27/2020,3:00 PM,60,1.31,Direct,,NoTOU
3/27/2020,4:00 PM,60,0.15,Direct,,NoTOU
3/27/2020,5:00 PM,60,0.465,Direct,,NoTOU
3/27/2020,6:00 PM,60,0.135,Direct,,NoTOU
3/27/2020,7:00 PM,60,0.425,Direct,,NoTOU
3/27/2020,8:00 PM,60,0.595,Direct,,NoTOU
3/27/2020,9:00 PM,60,1.03,Direct,,NoTOU
3/27/2020,10:00 PM,60,0.345,Direct,,NoTOU
3/27/2020,11:00 PM,60,0.6,Direct,,NoTOU
3/28/2020,12:00 AM,60,0.19,Direct,,NoTOU
3/28/2020,1:00 AM,60,0.205,Direct,,NoTOU
3/28/2020,2:00 AM,60,0.23,Direct,,NoTOU
3/28/2020,3:00 AM,60,0.2,Direct,,NoTOU
3/28/2020,4:00 AM,60,0.2,Direct,,NoTOU
3/28/2020,5:00 AM,60,0.18,Direct,,NoTOU
3/28/2020,6:00 AM,60,0.185,Direct,,NoTOU
3/28/2020,7:00 AM,60,0.195,Direct,,NoTOU
3/28/2020,8:00 AM,60,0.14,Direct,,NoTOU
3/28/2020,9:00 AM,60,0.105,Direct,,NoTOU
3/28/2020,10:00 AM,60,0.1,Direct,,NoTOU
3/28/2020,11:00 AM,60,0.625,Direct,,NoTOU
3/28/2020,12:00 PM,60,0.245,Direct,,NoTOU
3/28/2020,1:00 PM,60,0.24,Direct,,NoTOU
3/28/2020,2:00 PM,60,3.4,Direct,,NoTOU
